会社名,フォームURL,判定,理由,検出語
株式会社ハウステンボス,https://www.huistenbosch.co.jp/contact/,要確認,予約・申込フォームの語もあるが問い合わせ欄もある,予約・申込フォーム:ご予約
株式会社岩戸屋,https://www.iwatoya.co.jp/contact/,要確認,予約・申込フォームの語もあるが問い合わせ欄もある,予約・申込フォーム:ご予約 / 購入・注文フォーム:お支払い方法
コベルコ神戸スティーラーズ,https://www.kobesteelers.com/news/cat_news/information/,問い合わせ窓口,,
エーシーオー沖縄,https://www.acookinawa.com/performing-arts-exchange-project-for-the-next-generation/,問い合わせ窓口,,
劇団俳協,https://haikyo.co.jp/contact/form1.php,問い合わせ窓口,,
一般社団法人観世会,https://kanze.net/publics/index/33/,問い合わせ窓口,,
公益社団法人金春円満井会,https://www.komparu-enmaikai.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,要確認,寄付・会員登録フォームの語もあるが問い合わせ欄もある,寄付・会員登録フォーム:寄附
ペスカドーラ町田,https://www.pescadola-machida.com/other/contact/,問い合わせ窓口,,
公益財団法人東京都歴史文化財団,https://www.rekibun.or.jp/inquiry/,要確認,寄付・会員登録フォームの語もあるが問い合わせ欄もある,寄付・会員登録フォーム:寄附
公益財団法人相模原市民文化財団,https://hall-net.or.jp/contactform/,問い合わせ窓口,,
公益財団法人西宮市文化振興財団,https://www.nishi.or.jp/shisei/koho/kochojigyo/toiawase.html,除外,到達不可,
（株）ライブ・ネーションH.I.P.,https://www.livenationhip.co.jp/contact,問い合わせ窓口,,
横浜キヤノンイーグルス,https://www.canon-eagles.jp/contact/,問い合わせ窓口,,
一般社団法人劇団コーロ,https://kooro.org/mail/index.html,問い合わせ窓口,,
劇団たんぽぽ,https://www.gekidan-tanpopo.com/performance/,問い合わせ窓口,,
劇団野ばら,https://gekidan-nobara.com/contact/,問い合わせ窓口,,
公益社団法人日本オーケストラ連盟,https://www.orchestra.or.jp/information/,問い合わせ窓口,,
公益財団法人アフィニス文化財団,https://www.affinis.or.jp/inquiry.html,送らない,寄付・会員登録フォーム,寄付・会員登録フォーム:ご寄付
エスポラーダ北海道,https://espolada.com/contact/,問い合わせ窓口,,
一般財団法人地域創造,https://www.jafra.or.jp/about/inquiry.html,問い合わせ窓口,,
公益社団法人能楽協会,https://www.nohgaku.or.jp/performance,問い合わせ窓口,,
公益社団法人落語芸術協会,https://www.geikyo.com/inquiry/index,問い合わせ窓口,,
公益財団法人アクトシティ浜松運営財団,https://www.actcity.jp/contact/,送らない,予約・申込フォーム,予約・申込フォーム:ご予約
公益財団法人ヤマハ音楽振興会,https://www.yamaha-mf.or.jp/contacts/,問い合わせ窓口,,
公益財団法人三鷹市スポーツと文化財団,https://mitaka-sportsandculture.or.jp/zaidan/inquiry/,問い合わせ窓口,,
公益財団法人北区文化振興財団,https://kitabunka.or.jp/performing-arts/,問い合わせ窓口,,
公益財団法人北海道文化財団,https://haf.jp/inquiry.php,問い合わせ窓口,,
公益財団法人千葉交響楽団,https://chibakyo.jp/contact/#scroll-position,問い合わせ窓口,,
公益財団法人名古屋市科学館,https://www.ncsm.city.nagoya.jp/visit/visitors_guide/inquiry.html,問い合わせ窓口,,
公益財団法人埼玉県公園緑地協会,https://www.parks.or.jp/association/guide/000/000532.html,問い合わせ窓口,,
公益財団法人埼玉県芸術文化振興財団,https://www.saf.or.jp/information/,問い合わせ窓口,,
公益財団法人多摩市文化振興財団,https://www.parthenon.or.jp/contact/,要確認,予約・申込フォームの語もあるが問い合わせ欄もある,予約・申込フォーム:ご予約
公益財団法人小田原市文化財団,https://www.city.odawara.kanagawa.jp/field/municipality/disclosure/singikaitounokoukai/information/seinenkoukenseido.html,除外,HTTP404,
公益財団法人尼崎市文化振興財団,https://www.archaic.or.jp/inquiry/,問い合わせ窓口,,
公益財団法人岡山文化芸術創造,https://www.ocac.jp/information/,問い合わせ窓口,,
公益財団法人川口総合文化センター,https://www.lilia.or.jp/inquiry,送らない,予約・申込フォーム,予約・申込フォーム:ご予約
公益財団法人市川市文化振興財団,https://www.tekona.net/contact/,問い合わせ窓口,,
公益財団法人愛知県文化振興,https://www.aac.pref.aichi.jp/information/000723.html,送らない,購入・注文フォーム,購入・注文フォーム:決済
公益財団法人愛知県文化振興事業団,https://www.aac.pref.aichi.jp/information/000723.html,送らない,購入・注文フォーム,購入・注文フォーム:決済
公益財団法人所沢市文化振興事業団,https://www.muse-tokorozawa.or.jp/contact/,問い合わせ窓口,,
公益財団法人日本科学技術振興財団,https://www.jsf.or.jp/info/information/1888/,送らない,予約・申込フォーム,予約・申込フォーム:ご予約
公益財団法人日本芸術文化振興会,https://www.ntj.jac.go.jp/contactus/,問い合わせ窓口,,
公益財団法人札幌市生涯学習振興財団,https://www.chieria.slp.or.jp/contact/previous-index.html,問い合わせ窓口,,
公益財団法人栃木県民芸術劇場,https://www.sobun-tochigi.jp/contact.html,要確認,予約・申込フォームの語もあるが問い合わせ欄もある,予約・申込フォーム:ご予約
公益財団法人江戸川区文化共育・地域振興財団,https://edogawa-bunkacenter.jp/inquiry/,要確認,予約・申込フォームの語もあるが問い合わせ欄もある,予約・申込フォーム:ご予約 / 購入・注文フォーム:決済
公益財団法人海老名市国際交流協会,https://www.ebina-bunka.jp/contact/,問い合わせ窓口,,
公益財団法人熊本市美術文化振興財団,https://www.camk.jp/information/guide/,送らない,寄付・会員登録フォーム,寄付・会員登録フォーム:ご寄付
公益財団法人福岡市文化芸術振興財団,https://www.ffac.or.jp/contact/,送らない,寄付・会員登録フォーム,寄付・会員登録フォーム:寄附
公益財団法人藤沢市みらい創造財団,https://f-mirai.jp/about/toiawase,問い合わせ窓口,,
公益財団法人豊橋文化振興財団,https://www.toyohashi-at.jp/contact/,問い合わせ窓口,,
公益財団法人鎌倉市芸術文化振興財団,https://www.kamakura-arts.or.jp/information/,問い合わせ窓口,,
公益財団法人長野市文化芸術振興財団,https://www.nagano-arts.or.jp/contact/,問い合わせ窓口,,
公益財団法人長野県文化振興事業団,https://www.nagano-arts.or.jp/contact/,問い合わせ窓口,,
花園近鉄ライナーズ,https://hanazono-liners.jp/fc_form/,問い合わせ窓口,,
（株）ケイ・ワン,https://www.k-1.co.jp/contact,問い合わせ窓口,,
いせさき演劇鑑賞会,https://isesaki-enkan.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,問い合わせ窓口,,
いせ演劇鑑賞会,https://iseenkan.jimdofree.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E9%80%A3%E7%B5%A1%E5%85%88/,問い合わせ窓口,,
いわき演劇鑑賞会,https://iwaki-enkan.jp/contact/,問い合わせ窓口,,
ちた半島演劇鑑賞会,https://chitaengeki.jimdofree.com/%E5%85%A5%E4%BC%9A%E6%A1%88%E5%86%85-%E3%81%8A%E5%95%8F%E5%90%88%E3%82%8F%E3%81%9B/,問い合わせ窓口,,
ひらつか演劇鑑賞会,https://hiratuka-engeki.jimdofree.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B/,問い合わせ窓口,,
