区分,項目,開封率,クリック率,配信停止率/バウンス等
業種別,銀行,37.72%,1.98%,0.09%
業種別,不動産（住宅）,30.13%,1.29%,0.14%
業種別,ITサービス,28.16%,0.61%,0.09%
業種別,経営コンサルティング,22.79%,2.07%,0.12%
業種別,マーケティング・広告,19.14%,1.75%,0.12%
業種別,法律サービス,22.92%,1.79%,0.08%
業種別,人材紹介・採用,27.85%,0.29%,0.06%
業種別,アパレル,28.09%,2.36%,0.04%
業種別,化粧品,28.26%,0.54%,0.13%
業種別,家具,29.11%,2.23%,0.10%
業種別,スーパーマーケット,43.49%,8.05%,0.11%
業種別,食品・飲料製造,27.61%,0.76%,0.12%
業種別,病院・医療,21.44%,1.45%,0.10%
業種別,健康・フィットネス,19.85%,0.95%,0.09%
業種別,政府・官公庁,64.27%,3.15%,0.09%
業種別,非営利団体,23.00%,0.98%,0.10%
業種別,高等教育,19.47%,1.26%,0.09%
業種別,eラーニング,21.27%,5.83%,0.03%
業種別,旅行・観光,23.04%,0.76%,0.10%
業種別,ホテル・旅館・ホスピタリティ,33.34%,1.65%,0.11%
業種別,スポーツ,30.52%,0.84%,0.13%
業種別,新聞,28.39%,2.06%,0.03%
業種別,放送メディア,38.21%,0.95%,0.40%
業種別,オンラインメディア,25.99%,1.42%,0.11%
業種別,出版,24.51%,1.72%,0.08%
業種別,音楽,42.65%,1.57%,0.12%
業種別,美術,45.25%,1.92%,0.19%
業種別,エンターテインメント,29.21%,0.72%,0.13%
業種別,製造業（機械）,30.16%,2.32%,0.20%
業種別,農業関連,33.06%,2.60%,0.13%
業種別,建築,32.07%,1.77%,0.12%
業種別,その他,21.50%,3.82%,0.08%
業種別,全体平均,25.54%,1.45%,0.10%
月別,1月,26.40%,1.91%,0.08%
月別,2月,26.79%,1.71%,0.08%
月別,3月,26.07%,1.45%,0.08%
月別,4月,23.61%,0.95%,0.08%
月別,5月,24.73%,1.21%,0.08%
月別,6月,25.28%,1.30%,0.09%
月別,7月,24.55%,1.30%,0.11%
月別,8月,24.41%,1.36%,0.13%
月別,9月,25.46%,1.73%,0.12%
月別,10月,25.87%,1.34%,0.11%
月別,11月,26.00%,1.42%,0.12%
月別,12月,27.74%,1.84%,0.09%
月別,全体平均,25.54%,1.45%,0.10%
地域別,アフリカ,15.42%,0.54%,0.10%
地域別,ブラジル,15.42%,0.57%,0.17%
地域別,中央アメリカ,19.01%,0.61%,0.04%
地域別,中国,22.19%,0.68%,0.08%
地域別,ヨーロッパ,26.10%,0.62%,0.84%
地域別,フランス,48.06%,0.73%,0.11%
地域別,ドイツ,27.32%,1.38%,0.06%
地域別,インド,10.74%,0.84%,0.07%
地域別,イタリア,20.53%,1.32%,0.10%
地域別,日本,33.74%,1.30%,0.01%
地域別,メキシコ,13.55%,0.46%,0.05%
地域別,中東,16.39%,0.89%,0.09%
地域別,オセアニア,26.48%,1.54%,0.16%
地域別,ポルトガル,23.33%,0.91%,0.16%
地域別,ロシア,27.60%,1.61%,0.88%
地域別,南アメリカ,21.56%,0.58%,0.04%
地域別,東南アジア,11.64%,0.39%,0.03%
地域別,スペイン,22.25%,1.03%,0.07%
地域別,台湾,22.81%,0.65%,0.06%
地域別,イギリス,9.67%,1.63%,0.11%
地域別,アメリカ/カナダ,27.69%,1.18%,0.14%
地域別,全体平均,25.54%,1.45%,0.10%
従業員規模別,0 - 25,21.11%,2.43%,bounce 4.65% / unsub 0.22%
従業員規模別,25 - 100,21.50%,2.60%,bounce 5.57% / unsub 0.17%
従業員規模別,100 - 250,22.24%,1.94%,bounce 5.74% / unsub 0.17%
従業員規模別,250 - 1000,23.70%,3.56%,bounce 3.63% / unsub 0.20%
従業員規模別,1K - 10K,28.45%,4.83%,bounce 4.20% / unsub 0.12%
従業員規模別,10K - 50K,19.67%,2.11%,bounce 4.57% / unsub 0.16%
従業員規模別,50K - 100K,25.40%,2.63%,bounce 1.05% / unsub 0.13%
従業員規模別,Over 100K,24.10%,2.33%,bounce 5.21% / unsub 0.17%
従業員規模別,#N/A,21.57%,2.39%,bounce 4.63% / unsub 0.20%
従業員規模別,No data,22.36%,2.61%,bounce 4.03% / unsub 0.19%
