会社名,フォームURL,判定,理由,拾えた項目,本文,CAPTCHA,確認画面
公益財団法人高崎財団,https://www.takasaki-foundation.or.jp/about.php#information,手動,"到達不可: ('Connection aborted.', ConnectionResetE",,,,
株式会社ハウステンボス,https://www.huistenbosch.co.jp/contact/,要確認,HTMLにフォームなし（JS描画の可能性）,,,,
株式会社岩戸屋,https://www.iwatoya.co.jp/contact/,自動可,,company/email/name/name_kana/tel,通常版,,
コベルコ神戸スティーラーズ,https://www.kobesteelers.com/news/cat_news/information/,要確認,HTML上で拾えた項目が0件（実行時はラベルも見るので増える見込み）,,通常版,,
エーシーオー沖縄,https://www.acookinawa.com/performing-arts-exchange-project-for-the-next-generation/,要確認,HTMLにフォームなし（JS描画の可能性）,,,,
オペレッタ劇団ともしび,https://tomoshibi.co.jp/contact,手動,CAPTCHAあり（自動送信しない）,,,あり,
劇団俳協,https://haikyo.co.jp/contact/form1.php,要確認,HTMLにフォームなし（JS描画の可能性）,,,,
一般社団法人観世会,https://kanze.net/publics/index/33/,要確認,HTML上で拾えた項目が0件（実行時はラベルも見るので増える見込み）,,通常版,,あり
公益社団法人金春円満井会,https://www.komparu-enmaikai.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,要確認,HTML上で拾えた項目が0件（実行時はラベルも見るので増える見込み）,,通常版,,
ペスカドーラ町田,https://www.pescadola-machida.com/other/contact/,自動可,,email/name/tel,極小版（上限100）,,
公益財団法人東京都歴史文化財団,https://www.rekibun.or.jp/inquiry/,要確認,HTML上で拾えた項目が1件（実行時はラベルも見るので増える見込み）,email,通常版,,
公益財団法人江東区文化コミュニティ財団,https://www.kcf.or.jp/contact/,手動,"到達不可: ('Connection aborted.', ConnectionResetE",,,,
公益財団法人相模原市民文化財団,https://hall-net.or.jp/contactform/,自動可,,email/name/tel,短縮版（上限500）,,
公益財団法人西宮市文化振興財団,https://www.nishi.or.jp/shisei/koho/kochojigyo/toiawase.html,要確認,HTML上で拾えた項目が0件（実行時はラベルも見るので増える見込み）,,通常版,,
