会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
エイベックス・ライヴ・クリエイティヴ（株）,,,https://avex.com/jp/ja/contact,,,コンサート・イベントの企画、制作及び興行,,38年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/%40avex,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
オールジャパン・プロレスリング（株）,,,https://www.all-japan.co.jp/contact/,,,プロレスリング興行 他,,12年,,,,プロレス興行,S,中,〇,〇,https://line.me/R/ti/p/%40xbd4467l,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
全栄企画（株）,03-3538-2301,,https://zen-a.co.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,55年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@585boomz?oat_content=url,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
四季（株）,0570-008-110,,https://www.shiki.jp/siteinfo/contact.html,,,,,,,,,演劇制作,S,大,〇,〇,https://line.me/R/ti/p/%40shiki,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
（株）KAJIMOTO,03-3574-0969,inquiry@kajimotomusic.com,https://www.kajimotomusic.com/contact/,,,,,,,,,クラシック音楽,S,,〇,〇,,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
（株）アニプレックス,,,https://www.aniplex.co.jp/support/,,,,,,,,,アニメ・音楽,S,中,〇,〇,https://lin.ee/86c4z9y,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
（株）アミューズ,,amuseir@amuse.co.jp,https://www.amuse.co.jp/contact/,,,アミューズは、コンテンツを創り届けることを追求してきました。 アーティストを中心にコンテンツを創造し、それらを様々な,,48年,上場,,,芸能マネジメント,S,大,〇,〇,https://line.me/R/ti/p/@239ryobj,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
（株）エアーフラッグ,03-6276-4968,,,,,コンサート、イベントの企画、制作及び興行,,12年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@shiggy_jr?from=page&accountId=shiggy_jr,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
（株）エイベックス・エンタテインメント,,,https://avex.com/jp/ja/contact,,,,,38年,,,,音楽・イベント,S,大,〇,〇,https://line.me/R/ti/p/%40avex,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
（株）エル・ディー・アンド・ケイ,03-6861-7880,,https://ldandk.com/contactform/,,,音楽プロダクション業務 自主レーベル業務 ＣＤプレス業務 音楽出版管理業務 書籍出版業務 レコーディングスタジオ運営,,35年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/MtvXyUo,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
（株）キョードー東京,0570-550-799,,,,,ライブエンターテイメント事業 コンサート・ミュージカル・演劇・ダンス・寄席・演芸・スポーツ・イベント・展覧会など 企,,62年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/86TT3ra,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
（株）スペースシャワーネットワーク,,,https://www.spaceshower.net/support,,,コンサート・イベントの企画、制作及び興行,,37年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/3oYZ16p,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
（株）読売新聞東京本社事業局スタジアム・アリーナ部,,t-medmovie@yomiuri.com,https://www.yomiuri.co.jp/stream/form/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@196jigne,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
LiveNationJapan合同会社,03-3475-9999,,https://www.livenationhip.co.jp/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
