会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
新日本プロレスリング株式会社,,,,,,プロレス興行の企画・主催、映像配信,,,,自社サイト,,プロレス興行,S,大,〇,,,公式サイトにスケジュール/チケット頁。東京ドーム等の大規模自主興行を確認
オールジャパン・プロレスリング株式会社,,,,,,プロレス興行の企画・主催（全日本プロレス）,,,,,,プロレス興行,,中,〇,,,公式サイトのevents頁で自主興行を確認。ローチケでも併売
株式会社CyberFight,,,,,,プロレス興行の企画・主催（DDT・ノア・東京女子）,,,,,,プロレス興行,S,大,〇,,,DDT/ノアがサイバーエージェントG傘下で複数ブランドの自主興行を運営
株式会社スターダム,,,,,,女子プロレス興行の企画・主催,,,,,,プロレス興行,,中,〇,,,2025年4月にブシロードへ譲渡。自主興行を継続的に開催
株式会社ドラゴンゲート,,,,,,プロレス興行の企画・主催,,,,,,プロレス興行,,中,〇,,,1999年旗揚げ、2004年DRAGONGATEに改称。自主興行を継続
大日本プロレス株式会社,,,,,,プロレス興行の企画・主催,,,,,,プロレス興行,,小,〇,,,独立系団体として自主興行を継続開催
株式会社ロッキング・オン・ジャパン,,,,,,音楽フェスの主催、音楽雑誌の発行,,,,,,イベント制作,S,大,〇,,,ROCK IN JAPAN 27.5万人、JAPAN JAM 19.2万人、CDJ 15.8万人を自社主催
株式会社スマッシュ,,,,,,音楽フェス・来日公演の主催,,,,,,イベント制作,S,大,〇,,,FUJI ROCK FESTIVAL主催。野外フェスコンソーシアム発起人
株式会社クリエイティブマンプロダクション,,,,,,音楽フェス・来日公演の主催,,,,,,イベント制作,S,大,〇,,,SUMMER SONIC主催。野外フェスコンソーシアム発起人
株式会社ホットスタッフ・プロモーション,,,,,,コンサート・フェスの企画制作、主催,,,,,,イベント制作,,,〇,,,野外ミュージックフェスコンソーシアムの発起7社の一社
株式会社ディスクガレージ,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,ACPC正会員社。役員企業としてACPC資料に記載
株式会社キョードー東京,,,,,,コンサート・演劇の企画・制作・主催,,,,,,イベント制作,,,〇,,,ACPC正会員社。招聘公演を主催
株式会社キョードー横浜,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,ACPC正会員社一覧に掲載
株式会社キョードー西日本,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,公式サイトあり。西日本エリアの公演を主催するACPC系プロモーター
株式会社キョードー東北,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,東北エリアの公演を主催するACPC系プロモーター
株式会社ソーゴー東京,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,ACPC正会員社一覧に掲載
株式会社ソーゴー大阪,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,ACPC正会員社一覧に掲載
株式会社サンデーフォークプロモーション,,,,,,コンサートの企画・制作・主催,,,,,,イベント制作,,,〇,,,中部エリアの公演を主催するプロモーター
四季株式会社,,,,,,ミュージカル・演劇の制作企画と興行運営（劇団四季）,,,,自社サイト,,演劇制作,S,大,〇,,,"専用劇場7か所で年間3,000ステージ超。自社サイトで公演一覧・チケット販売"
東宝株式会社,,,,,,演劇の製作・主催、映画事業,,,,自社サイト,,演劇制作,S,大,〇,,,帝国劇場・シアタークリエ等で東宝主催公演を実施
松竹株式会社,,,,,,歌舞伎・演劇の製作・主催、映画事業,,,,,,演劇制作,S,大,〇,,,歌舞伎座等での興行を自社で製作・主催
株式会社ホリプロ,,,,,,舞台公演の製作・主催、芸能マネジメント,,,,自社サイト,,演劇制作,S,中,〇,,,ホリプロステージで抽選先行・先着先行と会員向けコンテンツを自社運営
吉本興業株式会社,,,,,,お笑い興行の主催、劇場運営、芸能マネジメント,,,,,,演芸興行,S,大,〇,,,よしもと漫才劇場など全国の常設劇場でお笑いライブを自社運営
松竹芸能株式会社,,,,,,お笑い興行の主催、芸能マネジメント,,,,,,演芸興行,,,〇,,,所属芸人によるライブ興行を自社で実施
株式会社太田プロダクション,,,,,,お笑いライブの主催、芸能マネジメント,,,,,,演芸興行,,小,〇,,,「太田プロライブ月笑」を定期開催しチケットを販売
株式会社ジャパン・アーツ,,,,,,クラシック演奏家の招聘・公演主催・マネジメント,,50年,,,,クラシック音楽,,,〇,,,1976年創業。演奏家・オーケストラ・バレエ団の招聘と公演主催を明記
株式会社KAJIMOTO,,,,,,クラシック演奏家の招聘・コンサートマネジメント,,,,,,クラシック音楽,,,〇,,,東京・北京・パリに拠点。国内最大手のクラシック専門マネジメント
株式会社テンポプリモ,,,,,,クラシック・舞台芸術の公演プロデュース、招聘,,,,,,クラシック音楽,,中,〇,,,海外演奏家の招聘を中心に全国で年間100回前後の公演をプロデュース
株式会社アニプレックス,,,,,,アニメ製作、ライブイベントの主催,,,,,,アニメ・音楽,,中,〇,,,"20周年ライブを東京ガーデンシアターで主催、約6,000名を動員"
株式会社ブシロード,,,,,,カードゲーム・IP事業、ライブイベントの企画,,,,,,エンタメIP,,,〇,,,アニメスタ等のイベント企画に関与。スターダムの親会社
