会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
エイベックス・ライヴ・クリエイティヴ株式会社,,,https://avex.com/jp/ja/contact,,,コンサート・イベントの企画、制作及び興行,,38年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/%40avex,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
オールジャパン・プロレスリング株式会社,,,https://www.all-japan.co.jp/contact/,,,プロレスリング興行 他,,12年,,,,プロレス興行,S,中,〇,〇,https://line.me/R/ti/p/%40xbd4467l,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
全栄企画株式会社,03-3538-2301,,https://zen-a.co.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,55年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@585boomz?oat_content=url,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
吉本興業株式会社,,,,,,お笑い興行の主催、劇場運営、芸能マネジメント,,,,,,演芸興行,S,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
四季株式会社,0570-008-110,,https://www.shiki.jp/siteinfo/contact.html,,,ミュージカル・演劇の制作企画と興行運営（劇団四季）,,,,自社サイト,,演劇制作,S,大,〇,〇,https://line.me/R/ti/p/%40shiki,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
新日本プロレスリング株式会社,,,,,,プロレス興行の企画・主催、映像配信,,,,自社サイト,,プロレス興行,S,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
東宝株式会社,,,https://www.toho.co.jp/important_information/20260224105145,,,演劇の製作・主催、映画事業,,,,自社サイト,,演劇制作,S,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
松竹株式会社,03-5550-1611,,https://www.shochiku.co.jp/contact/,,,/会社案内PDF 松竹の歴史 サステナビリティ CI（コーポレートアイデンティティ）,,,,,,演劇制作,S,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社CyberFight,,,,,,プロレス興行の企画・主催（DDT・ノア・東京女子）,,,,,,プロレス興行,S,大,〇,,,DDT/ノアがサイバーエージェントG傘下で複数ブランドの自主興行を運営
株式会社KAJIMOTO,03-3574-0969,inquiry@kajimotomusic.com,https://www.kajimotomusic.com/contact/,,,クラシック演奏家の招聘・コンサートマネジメント,,,,,,クラシック音楽,S,,〇,〇,,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
株式会社アニプレックス,,,https://www.aniplex.co.jp/support/,,,アニメ製作、ライブイベントの主催,,,,,,アニメ・音楽,S,中,〇,〇,https://lin.ee/86c4z9y,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
株式会社アミューズ,,amuseir@amuse.co.jp,https://www.amuse.co.jp/contact/,,,アミューズは、コンテンツを創り届けることを追求してきました。 アーティストを中心にコンテンツを創造し、それらを様々な,,48年,上場,,,芸能マネジメント,S,大,〇,〇,https://line.me/R/ti/p/@239ryobj,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
株式会社エアーフラッグ,03-6276-4968,,,,,コンサート、イベントの企画、制作及び興行,,12年,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@shiggy_jr?from=page&accountId=shiggy_jr,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
株式会社エイベックス・エンタテインメント,,,https://avex.com/jp/ja/contact,,,,,38年,,,,音楽・イベント,S,大,〇,〇,https://line.me/R/ti/p/%40avex,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
株式会社エル・ディー・アンド・ケイ,03-6861-7880,,https://ldandk.com/contactform/,,,音楽プロダクション業務 自主レーベル業務 ＣＤプレス業務 音楽出版管理業務 書籍出版業務 レコーディングスタジオ運営,,35年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/MtvXyUo,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
株式会社キョードー東京,0570-550-799,,,,,ライブエンターテイメント事業 コンサート・ミュージカル・演劇・ダンス・寄席・演芸・スポーツ・イベント・展覧会など 企,,62年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/86TT3ra,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
株式会社クリエイティブマンプロダクション,03-3499-6669,creativeman@creativeman.co.jp,https://www.creativeman.co.jp/mag/form1.php,,,海外アーティストの招聘、及び興行 国内外アーティストのライヴコンサート等の企画・制作・運営 各種イベント、フェスティ,,,,,,コンサートプロモーター,S,大,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社スペースシャワーネットワーク,,,https://www.spaceshower.net/support,,,コンサート・イベントの企画、制作及び興行,,37年,,,,コンサートプロモーター,S,,〇,〇,https://lin.ee/3oYZ16p,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
