会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
マルバ水戸FC,,malva-fc@malva-fc.jp,https://malva-mito.jp/news/2026-27%e3%82%b7%e3%83%bc%e3%82%ba%e3%83%b3-top-team-uniform-%e4%b8%80%e8%88%ac%e8%b2%a9%e5%a3%b2%e3%82%b9%e3%82%bf%e3%83%bc%e3%83%88/,,,Ｆリーグクラブの運営、主催試合の興行,,,,,,フットサル興行,S,,〇,〇,https://lin.ee/81UhTIPY,Ｆリーグのクラブ。ホスト開催試合を自主興行、公式サイトで確認。LINE公式への導線を確認
公益財団法人さいたま市文化振興事業団,048-866-3259,sacla-s@saitama-culture.jp,,,,市民文化の向上と地域コミュニティの推進に関する事業 ・文化団体等の育成に関する事業 ・文化事業の開催に関する事業 ・,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/euusFoK,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人新潟市芸術文化振興財団,025-224-5521,riyo@ryutopia.or.jp,https://www.ryutopia.or.jp/performance/,,,」と「公募要項」を公開しました 2025年12月18日 お知らせ 2026年4月1日より営業時間変更のお知らせ 20,,8年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/9JJbR6B,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人熊本県立劇場,096-363-2233,saiyo@kengeki.or.jp,https://www.kengeki.or.jp/contact,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/tOkUrMM,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
信濃グランセローズ,026-224-2036,grandserows@shinmai.co.jp,https://www.grandserows.co.jp/visit_form,,,プロ野球独立リーグの球団運営、主催試合の興行,,20年,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/d55ghAd,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
火の国サラマンダーズ,096-284-1855,info2@kpb.jp,https://salamanders.jp/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/bnOCcXi,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
群馬ダイヤモンドペガサス,027-386-6088,info@d-pegasus.com,https://d-pegasus.com/1536-2/,,,プロ野球独立リーグの球団運営、主催試合の興行,,18年,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/Dw5tZ4y,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人松山バレエ団,03-3408-6640,ticket@matsuyama-ballet.com,https://www.matsuyama-ballet.com/freetrial_form.html,,,自主公演の企画・主催,,,,,,バレエ,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
アグレミーナ浜松,,info@agleymina.com,,,,Ｆリーグクラブの運営、主催試合の興行,,,,,,フットサル興行,,,〇,,,Ｆリーグのクラブ。ホスト開催試合を自主興行、公式サイトで確認。LINE公式は未確認
シュライカー大阪,06-6684-5777,futsalclub@mags.co.jp,https://shriker-osaka.jp/contact/,,,Ｆリーグクラブの運営、主催試合の興行,,,,,,フットサル興行,,,〇,,,Ｆリーグのクラブ。ホスト開催試合を自主興行、公式サイトで確認。LINE公式は未確認
ボアルース長野,026-215-1231,info@boaluz-nagano.com,https://boaluz-nagano.com/contact/,,,チーム運営 ボアルース長野（F1リーグ） ボアルース長野ヴェルメリオ(北信越フットサルリーグ1部参戦) ※2016シ,,,,,,フットサル興行,,,〇,,,Ｆリーグのクラブ。ホスト開催試合を自主興行、公式サイトで確認。LINE公式は未確認
リコーブラックラムズ東京,,zjc_blackramstokyo_koenkai@jp.ricoh.com,https://www.blackrams-tokyo.com/news/information/2026-2027/20260804a.html,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
三重ホンダヒート,,hm_honda-heat_shared@jp.honda,https://www.honda-heat.jp/contact/,,,ラグビークラブの運営、主催試合の興行,,65年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
日本製鉄釜石シーウェイブス,0193-22-1173,info@kamaishi-seawaves.com,https://kamaishi-seawaves.com/contact/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
東芝ブレイブルーパス東京,,login_support@japan-rugby-marketing.com,https://www.bravelupus.com/contact/,,,ラグビークラブの運営、主催試合の興行,,5年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
