会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
一般財団法人牧阿佐美バレヱ団,03-3360-8251,,https://www.ambt.jp/kurumi-audition2026-form/,,,自主公演の企画・主催,,,,,,バレエ,S,,〇,〇,https://lin.ee/qF3bC5cJ,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式への導線を確認
コベルコ神戸スティーラーズ,,,https://www.kobesteelers.com/news/cat_news/information/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,S,,〇,〇,https://lin.ee/fJSs6ps,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式への導線を確認
株式会社海の中道海洋生態科学館,092-603-0400,,https://marine-world.jp/contactform/,,,水族館、食堂、喫茶店、売店および駐車場の経営など ▼従業員数 83名 （2026年3月現在） (株)海の中道海洋生態,,38年,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,S,,,〇,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式への導線を確認
公益社団法人観世九皐会,012-345-6789,,https://kanze.net/publics/index/33/,,,自主公演の企画・主催,,,,,,伝統芸能,S,,〇,〇,https://line.me/R/ti/p/@347rpqcw,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人新潟市芸術文化振興財団,025-224-5521,,https://www.ryutopia.or.jp/performance/,,,」と「公募要項」を公開しました 2025年12月18日 お知らせ 2026年4月1日より営業時間変更のお知らせ 20,,8年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/9JJbR6B,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人東京都歴史文化財団,03-6256-9070,,https://www.rekibun.or.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/ifDZmbF,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人熊本県立劇場,096-363-2233,,https://www.kengeki.or.jp/contact,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/tOkUrMM,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
信濃グランセローズ,026-224-2036,grandserows@shinmai.co.jp,https://www.grandserows.co.jp/visit_form,,,プロ野球独立リーグの球団運営、主催試合の興行,,20年,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/d55ghAd,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
千葉スカイセイラーズ,000-274-0061,,,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/tN2xtpE,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
火の国サラマンダーズ,096-284-1855,info2@kpb.jp,https://salamanders.jp/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/bnOCcXi,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
群馬ダイヤモンドペガサス,027-386-6088,info@d-pegasus.com,https://d-pegasus.com/1536-2/,,,プロ野球独立リーグの球団運営、主催試合の興行,,18年,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/Dw5tZ4y,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
高知ファイティングドッグス,,,,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,S,,〇,〇,https://lin.ee/3Dj0sma,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式への導線を確認
株式会社エイベックス・エンタテインメント,,,https://avex.com/jp/ja/contact,,,,,38年,,,,音楽・イベント,S,大,〇,〇,https://line.me/R/ti/p/%40avex,自社で興行を企画・主催。公式サイトでLINE公式アカウントへの導線を確認
公益財団法人松山バレエ団,03-3408-6640,ticket@matsuyama-ballet.com,https://www.matsuyama-ballet.com/freetrial_form.html,,,自主公演の企画・主催,,,,,,バレエ,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
小林紀子バレエ・シアター,080-7744-2721,,https://www.noriko-ballet.com/info,,,自主公演の企画・主催,,,,,,バレエ,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
AZ-COM丸和MOMOTARO'S,,,,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
クリタウォーターガッシュ昭島,,,,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
リコーブラックラムズ東京,,,https://www.blackrams-tokyo.com/news/information/2026-2027/20260804a.html,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
三菱重工相模原ダイナボアーズ,,,,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
三重ホンダヒート,,hm_honda-heat_shared@jp.honda,https://www.honda-heat.jp/contact/,,,ラグビークラブの運営、主催試合の興行,,65年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
日本製鉄釜石シーウェイブス,0193-22-1173,info@kamaishi-seawaves.com,https://kamaishi-seawaves.com/contact/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
日野レッドドルフィンズ,,,,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
東芝ブレイブルーパス東京,,,https://www.bravelupus.com/contact/,,,ラグビークラブの運営、主催試合の興行,,5年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
栃木ホンダヒート,,hm_honda-heat_shared@jp.honda,https://www.honda-heat.jp/contact/,,,ラグビークラブの運営、主催試合の興行,,65年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
横浜キヤノンイーグルス,045-477-5000,,https://www.canon-eagles.jp/contact/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
花園近鉄ライナーズ,,,https://hanazono-liners.jp/fc_form/,,,ラグビークラブの運営、主催試合の興行,,97年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
釜石シーウェイブスRFC,0193-22-1173,info@kamaishi-seawaves.com,https://kamaishi-seawaves.com/contact/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
静岡ブルーレヴズ,050-3354-0315,,https://www.shizuoka-bluerevs.com/contact,,,ラグビークラブの運営他 --> 静岡県知事登録旅行業 地域 第34号 <約款> ミッション・ビジョン 沿革 スポンサ,,5年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
刈谷ハイウェイオアシス株式会社,0566-35-0211,info@kariya-oasis.com,https://kariya-oasis.com/contact/,,,刈谷ハイウェイオアシスの管理・運営 採用 新卒採用 中途採用 現在実施しておりません。 パート・アルバイト募集 ① ,,,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
加森観光株式会社,011-222-3088,,https://kamori.co.jp/contact,,,施設の運営、催事の企画・実施,,45年,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
東武レジャー企画株式会社,0480-93-1200,,https://www.tobuzoo.com/news_list/information/,,,遊園地・動物園・プール事業 次世代育成対策推進法に基づく一般事業主行動計画 女性活躍推進法に基づく一般事業主行動計画,,50年,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
株式会社アワーズ,0570-06-4481,,,,,動物園、水族館、遊園地および博物館の経営 飲食店および売店の経営 加盟団体 公益社団法人 日本動物園水族館協会 西日,,49年,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
株式会社海遊館,06-6576-5501,,https://www.kaiyukan.com/info/faq/,,,施設の運営、催事の企画・実施,,,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
公益社団法人能楽協会,03-5925-3871,,https://www.nohgaku.or.jp/performance,,,自主公演の企画・主催,,18年,,,,伝統芸能,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
公益財団法人大槻能楽堂,06-6943-9454,info@noh-theater.com,https://www.noh-theater.com/toiawase.php,,,自主公演の企画・主催,,,,,,伝統芸能,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
公益財団法人三重県文化振興事業団,059-233-1111,,https://www.center-mie.or.jp/rental/form,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人京都市音楽芸術文化振興財団,075-711-2980,,https://www.kyoto-ongeibun.jp/information/,,,芸術及び芸能の振興並びに伝統芸能の継承及び発展に資する事業 ・京都の文化芸術の国内外への発信と交流の促進に資する事業,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
