会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
公益財団法人高崎財団,027-321-7304,s-tennis@takasaki-foundation.or.jp,https://www.takasaki-foundation.or.jp/about.php#information,,,等について、写真・動画等を活用し、情報を発信する。 2. コメント管理 財団は、財団アカウントを通じて、専ら情報発信,,42年,,,手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
オペレッタ劇団ともしび,03-6233-8381,,https://tomoshibi.co.jp/contact,,,児童・青少年向け演劇の制作・上演、公演の主催,,,,,フォームにreCAPTCHAあり / 手動対応,児童青少年演劇,S,,〇,〇,https://lin.ee/WnjhOAE,児演協の加盟劇団。自主公演を上演、連絡はフォーム。LINE公式への導線を確認
公益財団法人江東区文化コミュニティ財団,03-3644-8119,,https://www.kcf.or.jp/contact/,,,自主事業として公演を企画・主催,,16年,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,S,,〇,〇,https://lin.ee/e4UEM8p,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
クラウンファミリープレジャーＢ,052-483-7779,,https://www.pleasure-p.co.jp/oomune_inquiry/,,,児童・青少年向け演劇の制作・上演、公演の主催,,28年,,,フォームにreCAPTCHAあり / 手動対応,児童青少年演劇,,,,,,児演協の加盟劇団。自主公演を上演、連絡はフォーム
太鼓芸能集団 鼓童,0259-86-3630,,https://www.kodo.or.jp/performance,,,自主公演の企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,実演団体,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
一般社団法人サッポロシティジャズ,011-592-4125,,https://sapporocityjazz.jp/contact/,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人千葉県文化振興財団,043-222-0077,,https://www.cbs.or.jp/contact,,,自主事業として公演を企画・主催,,14年,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人堺市文化振興財団,072-228-0114,,https://www.sakai-bunshin.com/contact/,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人札幌市公園緑化協会,,,https://www.sapporo-park.or.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人札幌市芸術文化財団,011-242-5800,,https://www.sapporo-community-plaza.jp/inquiry.php,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人盛岡市文化振興事業団,019-621-5100,,https://www.mfca.jp/contact,,,自主事業として公演を企画・主催,,29年,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人神戸市民文化振興財団,078-361-7105,,https://www.kobe-bunka.jp/aboutus/contact/,,,自主事業として公演を企画・主催,,44年,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人福井県文化振興事業団,0263-47-2004,,https://www.harmonyhall.jp/contact/,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人長崎県美術館,095-833-2110,,https://www.nagasaki-museum.jp/contact,,,自主事業として公演を企画・主催,,,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社篠原演劇企画,03-3845-6421,,https://www.shinohara-engeki.jp/inquiry/,,,劇場経営 劇場・健康ランド・ホテル施設等への大衆演劇斡旋 劇場・健康ランド・ホテル施設等のイベントコンサルティング業,,75年,,,フォームにreCAPTCHAあり / 手動対応,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
奈良演劇鑑賞会,0742-49-0448,,https://naraenkan.org/contact/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,フォームにreCAPTCHAあり / 手動対応,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
岡山市民劇場,086-224-7121,,https://simingekijou.okayama.jp/contact/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,フォームにreCAPTCHAあり / 手動対応,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
株式会社マリンワールド海の中道,092-603-0400,,https://marine-world.jp/contactform/,,,水族館、食堂、喫茶店、売店および駐車場の経営など ▼従業員数 83名 （2026年3月現在） (株)海の中道海洋生態,,38年,,,フォームにreCAPTCHAあり / 手動対応,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社加森観光,011-222-3088,,https://kamori.co.jp/contact,,,自主公演の企画・主催,,45年,,,フォームにreCAPTCHAあり / 手動対応,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
