会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
劇団リンク,03-5904-9481,mori@seinenza.com,https://www.seinenza.com/contact/,,,公演の企画・制作・上演,,,,,,劇団,S,,〇,〇,https://line.me/R/ti/p/%40888dvebs,自主公演を企画・上演しチケットを自団体で扱う、公式サイトで確認。LINE公式への導線を確認
アルスノヴァウインドシンフォニー,,anws.office@gmail.com,https://arsnova-wind.com/contact/,,,定期演奏会の企画・主催、楽団運営,,,,,,アマチュアオーケストラ,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
名東ウィンドオーケストラ,052-972-0430,meitowindorchestra@gmail.com,https://meito-wind.main.jp/contact/,,,定期演奏会の企画・主催、楽団運営,,,,,,アマチュアオーケストラ,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
東京佼成ウィンドオーケストラ,03-5341-1155,ticket@tkwo.jp,https://www.tkwo.jp/contact/,,,定期演奏会の企画・主催、楽団運営,,,,,,アマチュアオーケストラ,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
沖縄交響楽団,,domain@okikyo.org,https://www.okikyou.org/contact/,,,定期演奏会の企画・主催、楽団運営,,70年,,,,アマチュアオーケストラ,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
劇団こんにゃく座,044-930-1720,info@konnyakuza.com,https://www.konnyakuza.com/access,,,公演の企画・制作・上演,,,,,,劇団,,,〇,,,自主公演を企画・上演しチケットを自団体で扱う、公式サイトで確認
劇団東京ヴォードヴィルショー,03-3227-8371,info@vaudeville-show.com,https://vaudeville-show.com/contact/,,,公演の企画・制作・上演,,,,,,劇団,,,〇,,,自主公演を企画・上演しチケットを自団体で扱う、公式サイトで確認
CityWinds久留米市民吹奏楽団,050-3201-4109,info@city-winds.net,https://www.city-winds.net/contact/index.html,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
さいたま月曜吹奏楽団,,getusui.saitama@gmail.com,,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
カプリチオ吹奏楽団,,capriccio1982@yahoo.co.jp,http://wo-capriccio.jugem.jp/?eid=2,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
