会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
公益財団法人日本フィルハーモニー協会,03-5378-5911,order-ticket@japanphil.or.jp,https://japanphil.or.jp/news/?pram_cat=performers&pram_year=2026,,,自主公演の企画・主催、演奏会の開催,,,,,,オーケストラ,S,,〇,〇,https://lin.ee/yTM6GRU,楽団が自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
株式会社志多ら,0536-76-1708,info@shidara.co.jp,https://shidara.co.jp/inquiry/estimate.php,,,和太鼓公演の企画・制作・主催、全国ツアー,,,,,,和太鼓,S,,〇,〇,https://line.me/R/ti/p/%40odp2465v,自主公演・全国ツアーを主催、公式サイトで確認。LINE公式への導線を確認
公益財団法人大田区文化振興協会,03-3750-1555,sample@ota-bunka.or.jp,https://www.ota-bunka.or.jp/recruit/other/event_calendar_form,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/2vvOczr,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人宝塚市文化財団,0797(85)8844,info@takarazuka-c.jp,https://takarazuka-c.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://line.me/R/ti/p/@092ijkig,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人日本オペラ振興会,03-6721-0995,office@jof.or.jp,https://www.jof.or.jp/performance,,,自主事業として公演を企画・主催,,66年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/HgyP9yB,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人郡山市文化・学び振興公社,024-953-3373,info@bunka-manabi.or.jp,https://www.bunka-manabi.or.jp/bungakunomori/information/news/000320.html,,,自主事業として公演を企画・主催,,42年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/GlIin7g,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
公益財団法人静岡市文化振興財団,054-255-4746,info@scpf.shizuoka-city.or.jp,https://www.scpf.shizuoka-city.or.jp/contact/,,,沿革 設立30周年記念 アクセスマップ 刊行物 しずおかイベント,,32年,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/Zu69pt4,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式への導線を確認
H.C.栃木日光アイスバックス,0288-53-5166,member@icebucks.jp,,,,アイスホッケークラブの運営、主催試合の興行,,21年,,,,アイスホッケー興行,,,〇,,,クラブが主催試合を自主興行、公式サイトで確認。LINE公式は未確認
香川アイスフェローズ,,fellows-club@kagawa-icefellows.com,,,,アイスホッケークラブの運営、主催試合の興行,,,,,,アイスホッケー興行,,,〇,,,クラブが主催試合を自主興行、公式サイトで確認。LINE公式は未確認
公益財団法人京都市交響楽団,075-222-0347,kyo-tomo@kyoto-symphony.jp,https://www.kyoto-symphony.jp/ticket/,,,自主公演の企画・主催、演奏会の開催,,,,,,オーケストラ,,,〇,,,楽団が自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人神奈川フィルハーモニー管弦楽団,045-226-5107,friends@kanaphil.or.jp,https://www.kanaphil.or.jp/contact/,,,自主公演の企画・主催、演奏会の開催,,,,,,オーケストラ,,,〇,,,楽団が自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人読売日本交響楽団,0570-00-4390,support@yomikyo.or.jp,,,,自主公演の企画・主催、演奏会の開催,,,,,,オーケストラ,,,〇,,,楽団が自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益社団法人宝生会,03-3811-4843,office159hongo@hosho.or.jp,https://www.hosho.or.jp/contact/,,,伝統芸能の自主公演の企画・主催,,,,,,伝統芸能,,,〇,,,定期公演を自主主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
公益社団法人日本三曲協会,03-3585-9916,sankyoku@nifty.com,https://www.sankyoku.jp/contact.php,,,伝統芸能の自主公演の企画・主催,,86年,,,,伝統芸能,,,〇,,,定期公演を自主主催しチケットを自団体で販売、公式サイトで確認。LINE公式は未確認
