会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
株式会社ハウステンボス,0956-27-0646,webmaster@huistenbosch.co.jp,https://www.huistenbosch.co.jp/contact/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
株式会社岩戸屋,0596(23)3188,info@iwatoya.co.jp,https://www.iwatoya.co.jp/contact/,,,菓子製造・販売，物産販売，食堂運営，団体来客サービス 店舗 2（本店，物産店） 工場 1カ所 ［経営理念/方針］ 当,,116年,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
コベルコ神戸スティーラーズ,,,https://www.kobesteelers.com/news/cat_news/information/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,S,,〇,〇,https://lin.ee/fJSs6ps,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式への導線を確認
エーシーオー沖縄,098(887)1333,,https://www.acookinawa.com/performing-arts-exchange-project-for-the-next-generation/,,,児童・青少年向け演劇の制作・上演、公演の主催,,,,,,児童青少年演劇,S,,〇,〇,https://lin.ee/tvuY3K4,児演協の加盟劇団。自主公演を上演、連絡はフォーム。LINE公式への導線を確認
劇団俳協,03-3356-7521,,https://haikyo.co.jp/contact/form1.php,,,千駄ヶ谷事務所 出演事業部 所属俳優の、ＴＶ・ラジオ・舞台等のマネージメントを初め、スケジュールや著作権管理を行って,,66年,,,,児童青少年演劇,S,,〇,〇,https://lin.ee/w7L1kh5,児演協の加盟劇団。自主公演を上演、連絡はフォーム。LINE公式への導線を確認
一般社団法人観世会,012-345-6789,,https://kanze.net/publics/index/33/,,,自主公演の企画・主催,,,,,,実演団体,S,,〇,〇,https://line.me/R/ti/p/@347rpqcw,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益社団法人金春円満井会,03-6913-6714,,https://www.komparu-enmaikai.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,,,自主公演の企画・主催,,,,,,実演団体,S,,〇,〇,https://lin.ee/nvqt1ly,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
ペスカドーラ町田,0570-08-9999,,https://www.pescadola-machida.com/other/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://line.me/R/ti/p/%40pescadolamachida,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人東京都歴史文化財団,03-6256-9070,,https://www.rekibun.or.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/ifDZmbF,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人相模原市民文化財団,042-749-2207,,https://hall-net.or.jp/contactform/,,,自主事業として公演を企画・主催,,15年,,,,文化事業・公演主催,S,,〇,〇,https://line.me/R/ti/p/%40910ifmtq,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人西宮市文化振興財団,0798-36-5000,,https://www.nishi.or.jp/shisei/koho/kochojigyo/toiawase.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,S,,〇,〇,https://lin.ee/MUGwId,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
（株）ライブ・ネーションH.I.P.,03-3475-9999,,https://www.livenationhip.co.jp/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター、連絡はフォーム
横浜キヤノンイーグルス,045-477-5000,,https://www.canon-eagles.jp/contact/,,,ラグビークラブの運営、主催試合の興行,,,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載
