会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
株式会社ハウステンボス,0956-27-0646,webmaster@huistenbosch.co.jp,https://www.huistenbosch.co.jp/contact/,,,自主公演の企画・主催,,,,,要確認：予約・申込フォームの語もあるが問い合わせ欄もある,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
株式会社岩戸屋,0596(23)3188,info@iwatoya.co.jp,https://www.iwatoya.co.jp/contact/,,,菓子製造・販売，物産販売，食堂運営，団体来客サービス 店舗 2（本店，物産店） 工場 1カ所 ［経営理念/方針］ 当,,116年,,,要確認：予約・申込フォームの語もあるが問い合わせ欄もある,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
公益社団法人金春円満井会,03-6913-6714,,https://www.komparu-enmaikai.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,,,自主公演の企画・主催,,,,,要確認：寄付・会員登録フォームの語もあるが問い合わせ欄もある,実演団体,S,,〇,〇,https://lin.ee/nvqt1ly,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人東京都歴史文化財団,03-6256-9070,,https://www.rekibun.or.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,要確認：寄付・会員登録フォームの語もあるが問い合わせ欄もある,文化事業・公演主催,S,,〇,〇,https://lin.ee/ifDZmbF,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人西宮市文化振興財団,0798-36-5000,,https://www.nishi.or.jp/shisei/koho/kochojigyo/toiawase.html,,,自主事業として公演を企画・主催,,,,,除外：到達不可,文化事業・公演主催,S,,〇,〇,https://lin.ee/MUGwId,自主公演を主催しチケットを自団体で販売、連絡はフォーム。LINE公式への導線を確認
公益財団法人アフィニス文化財団,03-5797-7135,,https://www.affinis.or.jp/inquiry.html,,,一覧 事業内容一覧 オーケストラへの助成 アフィニス夏の音楽祭の開催 アフィニス・アンサンブル・セレクション 海外研,,38年,,,送らない：寄付・会員登録フォーム,実演団体,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人アクトシティ浜松運営財団,053-451-1111,,https://www.actcity.jp/contact/,,,自主事業として公演を企画・主催,,,,,送らない：予約・申込フォーム,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人多摩市文化振興財団,042-375-1414,,https://www.parthenon.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,要確認：予約・申込フォームの語もあるが問い合わせ欄もある,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人小田原市文化財団,0465-33-1300,,https://www.city.odawara.kanagawa.jp/field/municipality/disclosure/singikaitounokoukai/information/seinenkoukenseido.html,,,自主事業として公演を企画・主催,,,,,除外：HTTP404,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人川口総合文化センター,048-258-2000,,https://www.lilia.or.jp/inquiry,,,自主事業として公演を企画・主催,,,,,送らない：予約・申込フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人愛知県文化振興,052）971-5511,,https://www.aac.pref.aichi.jp/information/000723.html,,,を掲載しました 2024.07.24 １１階展望回廊の再開について 2024.06.03 こころのおやつ「AAC タ,,,,,送らない：購入・注文フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人愛知県文化振興事業団,052）971-5511,,https://www.aac.pref.aichi.jp/information/000723.html,,,を掲載しました 2024.07.24 １１階展望回廊の再開について 2024.06.03 こころのおやつ「AAC タ,,,,,送らない：購入・注文フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人日本科学技術振興財団,03-3212-8484,,https://www.jsf.or.jp/info/information/1888/,,,自主事業として公演を企画・主催,,62年,,,送らない：予約・申込フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人栃木県民芸術劇場,028-643-1013,,https://www.sobun-tochigi.jp/contact.html,,,自主事業として公演を企画・主催,,,,,要確認：予約・申込フォームの語もあるが問い合わせ欄もある,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人江戸川区文化共育・地域振興財団,03-3652-1111,,https://edogawa-bunkacenter.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,要確認：予約・申込フォームの語もあるが問い合わせ欄もある,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人熊本市美術文化振興財団,096-278-7500,,https://www.camk.jp/information/guide/,,,自主事業として公演を企画・主催,,25年,,,送らない：寄付・会員登録フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人福岡市文化芸術振興財団,092-263-6300,,https://www.ffac.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,送らない：寄付・会員登録フォーム,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
一般財団法人牧阿佐美バレヱ団,03-3360-8251,,https://www.ambt.jp/kurumi-audition2026-form/,,,自主公演の企画・主催,,,,,送らない：購入・注文フォーム,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
